show,season,number,name,air_date,watched
1899,1,1,The Ship,11/17/2022,TRUE
1899,1,2,The Boy,11/17/2022,TRUE
1899,1,3,The Fog,11/17/2022,TRUE
1899,1,4,The Fight,11/17/2022,TRUE
1899,1,5,The Calling,11/17/2022,TRUE
1899,1,6,The Pyramid,11/17/2022,TRUE
1899,1,7,The Storm,11/17/2022,TRUE
1899,1,8,The Key,11/17/2022,TRUE
24,1,1,12:00 A.M. - 1:00 A.M.,11/6/2001,TRUE
24,1,2,1:00 A.M. - 2:00 A.M.,11/13/2001,TRUE
24,1,3,2:00 A.M. - 3:00 A.M.,11/20/2001,TRUE
24,1,4,3:00 A.M. - 4:00 A.M.,11/27/2001,TRUE
24,1,5,4:00 A.M. - 5:00 A.M.,12/11/2001,TRUE
24,1,6,5:00 A.M. - 6:00 A.M.,12/18/2001,TRUE
24,1,7,6:00 A.M. - 7:00 A.M.,1/8/2002,TRUE
24,1,8,7:00 A.M. - 8:00 A.M.,1/15/2002,TRUE
24,1,9,8:00 A.M. - 9:00 A.M.,1/22/2002,TRUE
24,1,10,9:00 A.M. - 10:00 A.M.,2/5/2002,TRUE
24,1,11,10:00 A.M. - 11:00 A.M.,2/12/2002,TRUE
24,1,12,11:00 A.M. - 12:00 P.M.,2/19/2002,TRUE
24,1,13,12:00 P.M. - 1:00 P.M.,2/26/2002,TRUE
24,1,14,1:00 P.M. - 2:00 P.M.,3/5/2002,TRUE
24,1,15,2:00 P.M. - 3:00 P.M.,3/12/2002,TRUE
24,1,16,3:00 P.M. - 4:00 P.M.,3/19/2002,TRUE
24,1,17,4:00 P.M. - 5:00 P.M.,3/26/2002,TRUE
24,1,18,5:00 P.M. - 6:00 P.M.,4/2/2002,TRUE
24,1,19,6:00 P.M. - 7:00 P.M.,4/9/2002,TRUE
24,1,20,7:00 P.M. - 8:00 P.M.,4/16/2002,TRUE
24,1,21,8:00 P.M. - 9:00 P.M.,4/23/2002,TRUE
24,1,22,9:00 P.M. - 10:00 P.M.,5/7/2002,TRUE
24,1,23,10:00 P.M. - 11:00 P.M.,5/14/2002,TRUE
24,1,24,11:00 P.M. - 12:00 A.M.,5/21/2002,TRUE
24,2,1,Day 2: 8:00 A.M. - 9:00 A.M.,10/29/2002,TRUE
24,2,2,Day 2: 9:00 A.M. - 10:00 A.M.,11/5/2002,TRUE
24,2,3,Day 2: 10:00 A.M. - 11:00 A.M.,11/12/2002,TRUE
24,2,4,Day 2: 11:00 A.M. - 12:00 P.M.,11/19/2002,TRUE
24,2,5,Day 2: 12:00 P.M. - 1:00 P.M.,11/26/2002,TRUE
24,2,6,Day 2: 1:00 P.M. - 2:00 P.M.,12/3/2002,TRUE
24,2,7,Day 2: 2:00 P.M. - 3:00 P.M.,12/10/2002,TRUE
24,2,8,Day 2: 3:00 P.M. - 4:00 P.M.,12/17/2002,TRUE
24,2,9,Day 2: 4:00 P.M. - 5:00 P.M.,1/7/2003,TRUE
24,2,10,Day 2: 5:00 P.M. - 6:00 P.M.,1/14/2003,TRUE
24,2,11,Day 2: 6:00 P.M. - 7:00 P.M.,2/4/2003,TRUE
